sector;pts_read;dts_read; NB_SAMPLES_PTS ;;;;;;;;;
442;691779;691697;338920;1412,16666666667;691779;0;691697;0;;;;
443;693330;693248;339680;1415,33333333333;693330;0;693248;0;;;;
444;694962;694881;340480;1418,66666666667;694962;0;694881;0;;;;
445;696432;696350;341200;1421,66666666667;696432;0;696350;0;;;;
446;698064;697983;342000;1425;698064;0;697983;0;;;;
447;699534;699452;342720;1428;699534;0;699452;0;;;;
448;701085;701003;343480;1431,16666666667;701085;0;701003;0;;;;
449;702636;702554;344240;1434,33333333333;702636;0;702554;0;;;;
450;704187;704105;345000;1437,5;704187;0;704105;0;;;;
451;705738;705656;345760;1440,66666666667;705738;0;705656;0;;;;
452;707370;707289;346560;1444;707370;0;707289;0;;;;
453;709003;708921;347360;1447,33333333333;709003;0;708921;0;;;;
454;710717;710636;348200;1450,83333333333;710717;0;710636;0;;;;
455;712268;712187;348960;1454;712268;0;712187;0;;;;
456;713819;713738;349720;1457,16666666667;713819;0;713738;0;;;;
457;715207;715126;350400;1460;715207;0;715126;0;;;;
458;716677;716595;351120;1463;716677;0;716595;0;;;;
459;718146;718064;351840;1466;718146;0;718064;0;;;;
460;719697;719615;352600;1469,16666666667;719697;0;719615;0;;;;
461;721248;721166;353360;1472,33333333333;721248;0;721166;0;;;;
462;722799;722717;354120;1475,5;722799;0;722717;0;;;;
463;724350;724268;354880;1478,66666666667;724350;0;724268;0;;;;
464;725901;725819;355640;1481,83333333333;725901;0;725819;0;;;;
465;727534;727452;356440;1485,16666666667;727534;0;727452;0;;;;
466;729085;729003;357200;1488,33333333333;729085;0;729003;0;;;;
467;730717;730636;358000;1491,66666666667;730717;0;730636;0;;;;
468;732268;732187;358760;1494,83333333333;732268;0;732187;0;;;;
469;733819;733738;359520;1498;733819;0;733738;0;;;;
470;735370;735289;360280;1501,16666666667;735370;0;735289;0;;;;
471;737003;736921;361080;1504,5;737003;0;736921;0;;;;
472;738554;738472;361840;1507,66666666667;738554;0;738472;0;;;;
473;740268;740187;362680;1511,16666666667;740268;0;740187;0;;;;
474;741901;741819;363480;1514,5;741901;0;741819;0;;;;
475;743534;743452;364280;1517,83333333333;743534;0;743452;0;;;;
476;744921;744840;364960;1520,66666666667;744921;0;744840;0;;;;
477;746309;746228;365640;1523,5;746309;0;746228;0;;;;
478;747697;747615;366320;1526,33333333333;747697;0;747615;0;;;;
479;749085;749003;367000;1529,16666666667;749085;0;749003;0;;;;
480;750472;750391;367680;1532;750472;0;750391;0;;;;
481;751942;751860;368400;1535;751942;0;751860;0;;;;
482;753411;753330;369120;1538;753411;0;753330;0;;;;
483;754881;754799;369840;1541;754881;0;754799;0;;;;
484;756350;756268;370560;1544;756350;0;756268;0;;;;
485;757901;757819;371320;1547,16666666667;757901;0;757819;0;;;;
486;759370;759289;372040;1550,16666666667;759370;0;759289;0;;;;
487;760840;760758;372760;1553,16666666667;760840;0;760758;0;;;;
488;762391;762309;373520;1556,33333333333;762391;0;762309;0;;;;
489;763860;763779;374240;1559,33333333333;763860;0;763779;0;;;;
490;765493;765411;375040;1562,66666666667;765493;0;765411;0;;;;
491;767044;766962;375800;1565,83333333333;767044;0;766962;0;;;;
492;768513;768432;376520;1568,83333333333;768513;0;768432;0;;;;
493;770146;770064;377320;1572,16666666667;770146;0;770064;0;;;;
494;771779;771697;378120;1575,5;771779;0;771697;0;;;;
495;773330;773248;378880;1578,66666666667;773330;0;773248;0;;;;
496;774962;774881;379680;1582;774962;0;774881;0;;;;
497;776432;776350;380400;1585;776432;0;776350;0;;;;
498;777819;777738;381080;1587,83333333333;777819;0;777738;0;;;;
499;779289;779207;381800;1590,83333333333;779289;0;779207;0;;;;
500;780758;780677;382520;1593,83333333333;780758;0;780677;0;;;;
501;782228;782146;383240;1596,83333333333;782228;0;782146;0;;;;
502;783697;783615;383960;1599,83333333333;783697;0;783615;0;;;;
503;785248;785166;384720;1603;785248;0;785166;0;;;;
504;786717;786636;385440;1606;786717;0;786636;0;;;;
505;788268;788187;386200;1609,16666666667;788268;0;788187;0;;;;
506;789819;789738;386960;1612,33333333333;789819;0;789738;0;;;;
507;791370;791289;387720;1615,5;791370;0;791289;0;;;;
508;792921;792840;388480;1618,66666666667;792921;0;792840;0;;;;
509;794472;794391;389240;1621,83333333333;794472;0;794391;0;;;;
510;796024;795942;390000;1625;796023;-1;795942;0;;;;
511;797493;797411;390720;1628;797493;0;797411;0;;;;
512;799126;799044;391520;1631,33333333333;799126;0;799044;0;;;;
513;800677;800595;392280;1634,5;800677;0;800595;0;;;;
514;802309;802228;393080;1637,83333333333;802309;0;802228;0;;;;
515;803942;803860;393880;1641,16666666667;803942;0;803860;0;;;;
516;805575;805493;394680;1644,5;805575;0;805493;0;;;;
517;807207;807126;395480;1647,83333333333;807207;0;807126;0;;;;
518;808595;808513;396160;1650,66666666667;808595;0;808513;0;;;;
519;809983;809901;396840;1653,5;809983;0;809901;0;;;;
520;811452;811370;397560;1656,5;811452;0;811370;0;;;;
521;813003;812921;398320;1659,66666666667;813003;0;812921;0;;;;
522;814472;814391;399040;1662,66666666667;814472;0;814391;0;;;;
523;816024;815942;399800;1665,83333333333;816023;-1;815942;0;;;;
524;817575;817493;400560;1669;817575;0;817493;0;;;;
525;819126;819044;401320;1672,16666666667;819126;0;819044;0;;;;
526;820758;820677;402120;1675,5;820758;0;820677;0;;;;
527;822309;822228;402880;1678,66666666667;822309;0;822228;0;;;;
528;823860;823779;403640;1681,83333333333;823860;0;823779;0;;;;
529;825411;825330;404400;1685;825411;0;825330;0;;;;
530;826962;826881;405160;1688,16666666667;826962;0;826881;0;;;;
531;828432;828350;405880;1691,16666666667;828432;0;828350;0;;;;
532;830064;829983;406680;1694,5;830064;0;829983;0;;;;
533;831615;831534;407440;1697,66666666667;831615;0;831534;0;;;;
534;833248;833166;408240;1701;833248;0;833166;0;;;;
535;834799;834717;409000;1704,16666666667;834799;0;834717;0;;;;
536;836513;836432;409840;1707,66666666667;836513;0;836432;0;;;;
537;838064;837983;410600;1710,83333333333;838064;0;837983;0;;;;
538;839534;839452;411320;1713,83333333333;839534;0;839452;0;;;;
539;841003;840921;412040;1716,83333333333;841003;0;840921;0;;;;
540;842472;842391;412760;1719,83333333333;842472;0;842391;0;;;;
541;843942;843860;413480;1722,83333333333;843942;0;843860;0;;;;
542;845411;845330;414200;1725,83333333333;845411;0;845330;0;;;;
543;846881;846799;414920;1728,83333333333;846881;0;846799;0;;;;
544;848432;848350;415680;1732;848432;0;848350;0;;;;
545;849901;849819;416400;1735;849901;0;849819;0;;;;
546;851534;851452;417200;1738,33333333333;851534;0;851452;0;;;;
547;853085;853003;417960;1741,5;853085;0;853003;0;;;;
548;854636;854554;418720;1744,66666666667;854636;0;854554;0;;;;
549;856187;856105;419480;1747,83333333333;856187;0;856105;0;;;;
550;857738;857656;420240;1751;857738;0;857656;0;;;;
551;859289;859207;421000;1754,16666666667;859289;0;859207;0;;;;
552;860921;860840;421800;1757,5;860921;0;860840;0;;;;
553;862391;862309;422520;1760,5;862391;0;862309;0;;;;
554;864105;864024;423360;1764;864105;0;864023;-1;;;;
555;865656;865575;424120;1767,16666666667;865656;0;865575;0;;;;
556;867370;867289;424960;1770,66666666667;867370;0;867289;0;;;;
557;869003;868921;425760;1774;869003;0;868921;0;;;;
558;870472;870391;426480;1777;870472;0;870391;0;;;;
559;871860;871779;427160;1779,83333333333;871860;0;871779;0;;;;
560;873248;873166;427840;1782,66666666667;873248;0;873166;0;;;;
561;874636;874554;428520;1785,5;874636;0;874554;0;;;;
562;876024;875942;429200;1788,33333333333;876023;-1;875942;0;;;;
563;877493;877411;429920;1791,33333333333;877493;0;877411;0;;;;
564;878881;878799;430600;1794,16666666667;878881;0;878799;0;;;;
565;880350;880268;431320;1797,16666666667;880350;0;880268;0;;;;
566;881901;881819;432080;1800,33333333333;881901;0;881819;0;;;;
567;883370;883289;432800;1803,33333333333;883370;0;883289;0;;;;
568;884840;884758;433520;1806,33333333333;884840;0;884758;0;;;;
569;886391;886309;434280;1809,5;886391;0;886309;0;;;;
570;887942;887860;435040;1812,66666666667;887942;0;887860;0;;;;
571;889411;889330;435760;1815,66666666667;889411;0;889330;0;;;;
572;890962;890881;436520;1818,83333333333;890962;0;890881;0;;;;
573;892595;892513;437320;1822,16666666667;892595;0;892513;0;;;;
574;894064;893983;438040;1825,16666666667;894064;0;893983;0;;;;
575;895697;895615;438840;1828,5;895697;0;895615;0;;;;
576;897248;897166;439600;1831,66666666667;897248;0;897166;0;;;;
577;898881;898799;440400;1835;898881;0;898799;0;;;;
578;8389376;;440960;1837,33333333333;900023;;;;;;;
;;;441000;;;;;;;;;
