PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SCR; NB_SAMPLES_SCR; RANK 
232570 ; 94880 ; 232476 ; 94840 ; 116 
234608 ; 95640 ; 234436 ; 95600 ; 117 
236604 ; 96400 ; 236506 ; 96360 ; 118 
238618 ; 97160 ; 238522 ; 97120 ; 119 
240600 ; 97880 ; 240426 ; 97840 ; 120 
242676 ; 98680 ; 242578 ; 98640 ; 121 
244620 ; 99440 ; 244526 ; 99400 ; 122 
246604 ; 100200 ; 246514 ; 100160 ; 123 
248686 ; 101040 ; 248596 ; 101000 ; 124 
250658 ; 101800 ; 250566 ; 101760 ; 125 
252668 ; 102600 ; 252576 ; 102560 ; 126 
254752 ; 103360 ; 254572 ; 103320 ; 127 
256722 ; 104040 ; 256618 ; 104000 ; 128 
258664 ; 104720 ; 258562 ; 104680 ; 129 
260656 ; 105440 ; 260554 ; 105400 ; 130 
262718 ; 106200 ; 262618 ; 106160 ; 131 
264640 ; 106880 ; 264470 ; 106840 ; 132 
266664 ; 107640 ; 266566 ; 107600 ; 133 
268650 ; 108400 ; 268556 ; 108360 ; 134 
270684 ; 109160 ; 270590 ; 109120 ; 135 
272738 ; 109960 ; 272644 ; 109920 ; 136 
274668 ; 110720 ; 274574 ; 110680 ; 137 
276690 ; 111480 ; 276594 ; 111440 ; 138 
278684 ; 112240 ; 278586 ; 112200 ; 139 
280760 ; 113000 ; 280588 ; 112960 ; 140 
282736 ; 113760 ; 282640 ; 113720 ; 141 
284704 ; 114520 ; 284610 ; 114480 ; 142 
286714 ; 115280 ; 286618 ; 115240 ; 143 
288722 ; 116080 ; 288628 ; 116040 ; 144 
290768 ; 116880 ; 290678 ; 116840 ; 145 
292754 ; 117680 ; 292664 ; 117640 ; 146 
294766 ; 118440 ; 294664 ; 118400 ; 147 
296806 ; 119120 ; 296618 ; 119080 ; 148 
298828 ; 119800 ; 298716 ; 119760 ; 149 
300764 ; 120440 ; 300648 ; 120400 ; 150 
302756 ; 121120 ; 302652 ; 121080 ; 151 
304794 ; 121840 ; 304688 ; 121800 ; 152 
306818 ; 122560 ; 306714 ; 122520 ; 153 
308876 ; 123280 ; 308700 ; 123240 ; 154 
310838 ; 124000 ; 310734 ; 123960 ; 155 
