 PKT_POS_SRC,SRC_READ,,,,,,,,,,,PKT_POS_PTS , PKT_POS_SRC,,,,BYTES BEFORE SECT,BYTES AFTER SECT, NB_SAMPLES_PTS , NB_SAMPLES_SCR,FRAMES,REM PCM BYTES,,,,,,,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,0,0,64,64,,,,0,,,,"24,4897959183673",,,,,,,,,,,,,,,,,,,,
15,11786721,"11786716,8367347","39289,056122449",0,39289,"0,436545222222222","19251,6443","39289,07",21,,,30080,30024,43,709,30746,30,26,19280,19240,481,"128,571428571429","43,731778425656","13119,5335276968","0,436281179138322",11779591,,"39265,3033333333",11786705,39289,"39289,0166666667",1,"5,00000000101863",21,39289,,"39289,7931292517",,,"23,7133333333333",,,
16,12570428,"12570390,3061225","41901,3010204082",0,41901,"0,465571407407407","20531,6990666667","41901,4266666667",128,,,32094,32038,43,752,32803,21,35,20560,20520,513,90,"30,6122448979592","9183,67346938776","0,46530612244898",12563265,,"41877,55",12570379,41901,"41901,2633333333",1,"79,0000000008149",128,41901,,"41902,0397959184",,,,,,
17,13353921,"13354063,7755102","44513,5459183674",1,44513,"0,494589666666667","21811,4043","44513,07",21,,,34104,34050,43,795,34856,14,40,21840,21800,545,"62,2222222222222","21,1640211640212","6349,20634920635","0,494331065759637",13346938,,"44489,7933333333",13354052,44513,"44513,5066666667",1,"152,000000000407",21,44513,44677,"44514,2831292517",-164,,,,,
18,14137457,"14137737,244898","47125,7908163265",2,47124,"0,523609518518519","23091,1797666667","47124,8566666667",257,,,36112,36060,43,838,36907,9,43,23120,23080,577,"41,5384615384615","14,1287284144427","4238,61852433281","0,523356009070295",14130612,,"47102,04",14137726,47126,"47125,7533333333",2,"226,000000000204",257,47124,47289,"47126,5297959184",-165,,,,,
19,14897593,"14896920,9183673","49656,4030612245",-2,49658,"0,551762703703704","24332,7352333333","49658,6433333333",193,,,38078,38022,43,881,38916,52,4,24360,24320,608,"222,857142857143","75,801749271137","22740,5247813411","0,551473922902494",14889795,,"49632,65",14896909,49656,"49656,3633333333",-1,"195,000000000437",193,49658,49819,,-161,,,,,
20,15607585,15607125,"52023,75",-1,52025,"0,578058703703704","25492,3888333333","52025,2833333333",85,,,40088,40014,43,924,40969,65,9,25520,25480,637,,,,"0,577777777777778",15600000,,52000,15607114,52024,"52023,7133333333",-1,0,85,52025,52187,,-162,,,,,
21,16144135,"16121410,7142857","53738,0357142857",-75,53813,"0,597930925925926","26368,7538333333","53813,7833333333",235,,,42084,41970,43,967,43008,114,0,26360,26320,658,,,,"0,596825396825397",16114285,,"53714,2833333333",16121399,53738,"53737,9966666667",-75,"84,9999999998545",235,53813,,,,,,,,
22,16560600,"16562227,0408163","55207,4234693878",5,55202,"0,613355555555556","27048,98",55202,0,,,44200,44022,43,1010,45167,67,111,27080,27040,676,,,,"0,613151927437642",16555102,,"55183,6733333333",16562216,55207,"55207,3866666667",6,"201,99999999968",0,55202,,,,,,,,
23,16979164,"16978553,5714286","56595,1785714286",-2,56597,"0,628857925925926","27732,6345333333","56597,2133333333",64,,,46104,45998,43,1053,47114,96,10,27760,27720,693,,,,"0,628571428571429",16971428,,"56571,4266666667",16978542,56595,"56595,14",-1,"127,999999999884",64,56597,,,,,,,,
24,17419157,"17419369,8979592","58064,5663265306",2,58063,"0,645153962962963","28451,2897666667","58063,8566666667",257,,,48142,48038,43,1096,49195,61,43,28480,28440,711,,,,"0,644897959183673",17412244,,"58040,8133333333",17419358,58064,"58064,5266666667",2,"243,999999999505",257,58063,,,,,,,,
25,17859793,"17860186,2244898","59533,9540816327",2,59532,"0,661473814814815","29170,9952333333","59532,6433333333",193,,,50150,50046,43,1139,51246,58,46,29200,29160,729,,,,"0,661224489795918",17853061,,"59510,2033333333",17860175,59534,"59533,9166666667",2,"60,9999999993306",193,59532,,,,,,,,
26,18301028,"18301002,5510204","61003,3418367347",0,61003,"0,677815851851852","29891,6790666667","61003,4266666667",128,,,52144,52042,43,1182,53283,67,35,29920,29880,747,,,,"0,677551020408163",18293877,,"60979,59",18300991,61003,"61003,3033333333",1,"176,999999998952",128,61003,,,,,,,,
27,18740293,"18741818,877551","62472,7295918367",6,62467,"0,694084925925926","30609,1452333333","62467,6433333333",193,,,54216,54040,43,1225,55398,74,102,30640,30600,765,,,,"0,693877551020408",18734693,,"62448,9766666667",18741807,62472,"62472,69",6,"293,000000000757",193,62467,,,,,,,,
28,19158300,"19158145,4081633","63860,4846938776",-1,63861,"0,709566666666667","31291,89",63861,0,,,56146,56042,43,1268,57371,77,27,31320,31280,782,,,,"0,709297052154195",19151020,,"63836,7333333333",19158134,63860,"63860,4466666667",0,"219,999999998981",0,63861,,,,,,,,
29,19599021,"19598961,7346939","65329,8724489796",0,65330,"0,725889666666667","32011,7343","65330,07",21,,,58150,58048,43,1311,59418,76,26,32040,32000,,,,,"0,72562358276644",19591836,,"65306,12",19598950,65330,"65329,8333333333",0,"36,0000000007858",21,65330,,,,,,,,
30,20040000,"20039778,0612245","66799,2602040816",,,"0,742222222222222",32732,66800,0,,,60156,60054,43,1354,61467,75,27,32760,32720,,,,,"0,741950113378685",20032653,,"66775,51",20039767,66799,"66799,2233333333",0,"152,999999998428",0,66800,,,,,,,,
31,20480507,"20480594,3877551","68268,6479591837",,,"0,758537296296296","33451,4947666667","68268,3566666667",107,,,62170,62068,43,1397,63524,66,36,33480,33440,,,,,"0,75827664399093",,,,,,,,,,,,,,,,,,
32,20897185,"20896920,9183673","69656,4030612245",-64,,"0,773969814814815","34132,0688333333","69657,2833333333",85,,,64162,63980,43,1440,65559,159,23,34160,34120,,,,,"0,773696145124717",,,,,,,,,,,,,,,,,,
33,21337221,"21337737,244898","71125,7908163265",,,,0,,21337221,,,66198,66092,,,,,,34880,34840,,,,,"0,790022675736962",,,,,,,-50,,,,,,,,,,,
34,21777471,"21778553,5714286","72595,1785714286",,,,,,,,,68238,68132,,,,,,35600,35560,,,,,"0,806349206349206",,,,,,,,,,,,,,,,,,
35,22195093,"22194880,1020408","73982,9336734694",,,,,,,,,70172,70066,,,,,,36280,36240,,,,,"0,821768707482993",,,,,,,,,,,,,,,,,,
36,22635428,"22635696,4285714","75452,3214285714",,,,,,,,,72208,72102,,,,,,37000,36960,,,,,"0,838095238095238",,,,,,,,,,,,,,,,,,
37,23074307,"23076512,755102","76921,7091836735",,,,,,,,,74298,74122,,,,,,37720,37680,,,,,"0,854421768707483",,,,,,,,,,,,,,,,,,
