PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SRC; NB_SAMPLES_SRC; RANK 
805993 ; 263640 ; 805876 ; 263600 ; 402 
808037 ; 264280 ; 807920 ; 264240 ; 403 
810047 ; 264920 ; 809926 ; 264880 ; 404 
812069 ; 265560 ; 811954 ; 265520 ; 405 
814039 ; 266160 ; 813836 ; 266120 ; 406 
816155 ; 266800 ; 815950 ; 266760 ; 407 
818025 ; 267400 ; 817908 ; 267360 ; 408 
820081 ; 268040 ; 819964 ; 268000 ; 409 
822193 ; 268720 ; 821988 ; 268680 ; 410 
824181 ; 269360 ; 823988 ; 269320 ; 411 
826071 ; 270000 ; 825878 ; 269960 ; 412 
828085 ; 270680 ; 827976 ; 270640 ; 413 
830109 ; 271360 ; 829996 ; 271320 ; 414 
832077 ; 272000 ; 831964 ; 271960 ; 415 
834167 ; 272600 ; 833948 ; 272560 ; 416 
836159 ; 273200 ; 836032 ; 273160 ; 417 
838185 ; 273800 ; 838050 ; 273760 ; 418 
840139 ; 274360 ; 840008 ; 274320 ; 419 
842161 ; 274960 ; 842042 ; 274920 ; 420 
844175 ; 275560 ; 844056 ; 275520 ; 421 
846153 ; 276160 ; 846030 ; 276120 ; 422 
848159 ; 276800 ; 848042 ; 276760 ; 423 
850099 ; 277400 ; 849896 ; 277360 ; 424 
852111 ; 278040 ; 851916 ; 278000 ; 425 
854199 ; 278760 ; 854098 ; 278720 ; 426 
856157 ; 279400 ; 856034 ; 279360 ; 427 
858163 ; 280040 ; 858048 ; 280000 ; 428 
860243 ; 280720 ; 860116 ; 280680 ; 429 
862211 ; 281320 ; 862088 ; 281280 ; 430 
864179 ; 281920 ; 863974 ; 281880 ; 431 
866179 ; 282560 ; 865984 ; 282520 ; 432 
868167 ; 283240 ; 868062 ; 283200 ; 433 
870157 ; 283920 ; 870062 ; 283880 ; 434 
872245 ; 284640 ; 872150 ; 284600 ; 435 
874253 ; 285360 ; 874140 ; 285320 ; 436 
876351 ; 286080 ; 876156 ; 286040 ; 437 
878269 ; 286760 ; 878076 ; 286720 ; 438 
