sector;SCR read;SCR_int;SCR_ext;;;;;;;Byte offset rec;PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SCR; NB_SAMPLES_SCR;;;;;;;2;16;44100
50;42105600;140352;0;140352,530612245;0,530612244911026;13;0,955177304964539;;;100229;100242;68800;100184;68760;;;;;;;;;
51;42765878;142552;278;142556,612244898;4,61224489795859;56;4,11460992907801;;;102234;102290;69880;102154;69840;;;;;;;;;
52;43427700;144759;0;144760,693877551;1,69387755100615;27;1,98382978723404;;;104239;104266;70960;104202;70920;;;;;;;;;
53;44112835;147042;235;147046,408163265;4,40816326532513;58;4,26156028368794;;;106244;106302;72080;106238;72040;;;;;;;;;
54;44723614;149078;214;149087,224489796;9,22448979591718;115;8,44964539007092;;;108249;108364;73080;108220;73040;;;;;;;;;
55;45336450;151121;150;151128,040816327;7,04081632653833;90;6,61276595744681;;;110254;110344;74080;110202;74040;;;;;;;;;
56;45949885;153166;85;153168,857142857;2,85714285713038;37;2,71858156028369;;;112259;112296;75080;112228;75040;;;;;;;;;
57;46587064;155290;64;155291,306122449;1,30612244896474;10;0,734751773049645;;;114264;114274;76120;114206;76080;;;;;;;;;
58;47247943;157493;43;157495,387755102;2,38775510204141;39;2,86553191489362;;;116269;116308;77200;116242;77160;;;;;;;;;
59;47885078;159616;278;159617,836734694;1,83673469387577;14;1,0286524822695;;;118274;118288;78240;118152;78200;;;;;;;;;
60;48570814;161902;214;161903,551020408;1,55102040816564;17;1,2490780141844;;;120279;120296;79360;120232;79320;;;;;;;;;
61;49254793;164182;193;164189,265306122;7,26530612245551;88;6,46581560283688;;;122284;122372;80480;122230;80440;;;;;;;;;
62;49917428;166391;128;166393,346938776;2,34693877550308;21;1,54297872340426;;;124289;124310;81560;124244;81520;;;;;;;;;
63;50579164;168597;64;168597,428571429;0,428571428579744;10;0,734751773049645;;;126294;126304;82640;126238;82600;;;;;;;;;
64;51240428;170801;128;170801,510204082;0,510204081627307;7;0,514326241134752;;;128299;128306;83720;128170;83680;;;;;;;;;
65;51974721;173249;21;173250,489795918;1,48979591837269;26;1,91035460992908;;;130304;130330;84920;130278;84880;;;;;;;;;
66;52684500;175615;0;175617,836734694;2,83673469387577;41;3,01248226950355;;;132309;132350;86080;132292;86040;;;;;;;;;
67;53394750;177982;150;177985,183673469;3,18367346937885;34;2,49815602836879;;;134314;134348;87240;134216;87200;;;;;;;;;
68;54055928;180186;128;180189,265306122;3,26530612245551;35;2,57163120567376;;;136319;136354;88320;136286;88280;;;;;;;;;
69;54692850;182309;150;182311,714285714;2,71428571428987;34;2,49815602836879;;;138324;138358;89360;138290;89320;;;;;;;;;
70;55329085;184430;85;184434,163265306;4,16326530612423;51;3,74723404255319;;;140329;140380;90400;140310;90360;;;;;;;;;
71;55965321;186551;21;186556,612244898;5,61224489795859;82;6,02496453900709;;;142334;142416;91440;142280;91400;;;;;;;;;
72;56602757;188675;257;188679,06122449;4,06122448982205;43;3,15943262411347;;;144339;144382;92480;144320;92440;;;;;;;;;
73;57264664;190882;64;190883,142857143;1,14285714286962;10;0,734751773049645;;;146344;146354;93560;146288;93520;;;;;;;;;
74;57925543;193085;43;193087,224489796;2,22448979591718;25;1,83687943262411;;;148349;148374;94640;148244;94600;;;;;;;;;
75;58610635;195368;235;195372,93877551;4,93877551023616;58;4,26156028368794;;;150354;150412;95760;150350;95720;;;;;;;;;
76;59271900;197573;0;197577,020408163;4,02040816328372;55;4,04113475177305;;;152359;152414;96840;152348;96800;;;;;;;;;
77;59909121;199697;21;199699,469387755;2,46938775508897;40;2,93900709219858;;;154364;154404;97880;154272;97840;;;;;;;;;
78;60594814;201982;214;201985,183673469;3,18367346940795;31;2,2777304964539;;;156369;156400;99000;156340;98960;;;;;;;;;
79;61279393;204264;193;204270,897959184;6,89795918369782;88;6,46581560283688;;;158374;158462;100120;158336;100080;;;;;;;;;
80;61942414;206474;214;206474,979591837;0,979591836745385;3;0,220425531914894;;;160379;160382;101200;160318;101160;;;;;;;;;
81;62650993;208836;193;208842,326530612;6,32653061224846;74;5,43716312056738;;;162384;162458;102360;162330;102320;;;;;;;;;
82;63289457;210964;257;210964,775510204;0,775510204082821;1;0,073475177304965;;;164389;164390;103400;164316;103360;;;;;;;;;
83;63925693;213085;193;213087,224489796;2,22448979591718;18;1,32255319148936;;;166394;166412;104440;166346;104400;;;;;;;;;
84;64562957;215209;257;215209,673469388;0,673469387780642;1;0,073475177304965;;;168399;168400;105480;168332;105440;;;;;;;;;
85;65222207;217407;107;217413,755102041;6,75510204082821;92;6,75971631205674;;;170404;170496;106560;170360;106520;;;;;;;;;
86;65860457;219534;257;219536,204081633;2,20408163263346;15;1,10212765957447;;;172409;172424;107600;172360;107560;;;;;;;;;
87;66545721;221819;21;221821,918367347;2,91836734695244;40;2,93900709219858;;;174414;174454;108720;174390;108680;;;;;;;;;
88;67207157;224023;257;224026;3;29;2,13078014184397;;;176419;176448;109800;176384;109760;;;;;;;;;
89;67916593;226388;193;226393,346938775;5,34693877550308;60;4,40851063829787;;;178424;178484;110960;178422;110920;;;;;;;;;
90;68577814;228592;214;228597,428571429;5,42857142855064;73;5,36368794326241;;;180429;180502;112040;180366;112000;;;;;;;;;
91;69263807;230879;107;230883,142857143;4,14285714286962;50;3,67375886524823;;;182434;182484;113160;182420;113120;;;;;;;;;
92;69948385;233161;85;233168,857142857;7,85714285715949;107;7,8618439716312;;;184439;184546;114280;184412;114240;;;;;;;;;
93;70635278;235450;278;235454,571428571;4,57142857142026;56;4,11460992907801;;;186444;186500;115400;186440;115360;;;;;;;;;
94;71320243;237734;43;237740,285714286;6,28571428571013;81;5,95148936170213;;;188449;188530;116520;188396;116480;;;;;;;;;
95;72007735;240025;235;240026;1;2;0,146950354609929;;;190454;190456;117640;190396;117600;;;;;;;;;
96;72692528;242308;128;242311,714285714;3,71428571428987;49;3,60028368794326;;;192459;192508;118760;192434;118720;;;;;;;;;
97;73303093;244343;193;244352,530612245;9,53061224488192;130;9,55177304964539;;;194464;194594;119760;194454;119720;;;;;;;;;
98;73891200;246304;0;246311,714285714;7,71428571428987;111;8,15574468085106;;;196469;196580;120720;196442;120680;;;;;;;;;
99;74480593;248268;193;248270,897959184;2,89795918369782;32;2,35120567375886;;;198474;198506;121680;198366;121640;;;;;;;;;
100;75117085;250390;85;250393,346938775;3,34693877550308;37;2,71858156028369;;;200479;200516;122720;200452;122680;;;;;;;;;
101;75754435;252514;235;252515,795918367;1,79591836736654;16;1,17560283687943;;;202484;202500;123760;202432;123720;;;;;;;;;
102;76414628;254715;128;254719,87755102;4,8775510204141;63;4,62893617021277;;;204489;204552;124840;204482;124800;;;;;;;;;
103;77050864;256836;64;256842,326530612;6,32653061221936;80;5,87801418439716;;;206494;206574;125880;206440;125840;;;;;;;;;
104;77688814;258962;214;258964,775510204;2,77551020408282;31;2,2777304964539;;;208499;208530;126920;208460;126880;;;;;;;;;
105;78349907;261166;107;261168,857142857;2,85714285713038;36;2,64510638297872;;;210504;210540;128000;210476;127960;;;;;;;;;
106;79010057;263366;257;263372,93877551;6,93877551023616;85;6,24539007092199;;;212509;212594;129080;212460;129040;;;;;;;;;
107;79672650;265575;150;265577,020408163;2,02040816325461;20;1,46950354609929;;;214514;214534;130160;214466;130120;;;;;;;;;
108;80380457;267934;257;267944,367346939;10,3673469387577;141;10,36;;;216519;216660;131320;216516;131280;;;;;;;;;
109;81043864;270146;64;270148,448979592;2,44897959183436;38;2,79205673758865;;;218524;218562;132400;218500;132360;;;;;;;;;
110;81753471;272511;171;272515,795918367;4,79591836733744;61;4,48198581560284;;;220529;220590;133560;220520;133520;;;;;;;;;
111;82365364;274551;64;274556,612244898;5,61224489798769;80;5,87801418439716;;;222534;222614;134560;222472;134520;;;;;;;;;
