PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SCR; NB_SAMPLES_SCR; RANK 
425048 ; 220560 ; 424908 ; 220520 ; 212 
427188 ; 221600 ; 427042 ; 221560 ; 213 
429166 ; 222640 ; 429026 ; 222600 ; 214 
431064 ; 223520 ; 430922 ; 223480 ; 215 
433134 ; 224560 ; 432984 ; 224520 ; 216 
435156 ; 225360 ; 434820 ; 225320 ; 217 
437070 ; 226160 ; 436898 ; 226120 ; 218 
439106 ; 227040 ; 438938 ; 227000 ; 219 
441316 ; 227920 ; 440986 ; 227880 ; 220 
443248 ; 228800 ; 443084 ; 228760 ; 221 
445184 ; 229680 ; 445022 ; 229640 ; 222 
447220 ; 230560 ; 447064 ; 230520 ; 223 
449246 ; 231520 ; 449088 ; 231480 ; 224 
451270 ; 232400 ; 450952 ; 232360 ; 225 
453114 ; 233280 ; 452960 ; 233240 ; 226 
455404 ; 234320 ; 455084 ; 234280 ; 227 
457214 ; 235200 ; 457066 ; 235160 ; 228 
459126 ; 236160 ; 458986 ; 236120 ; 229 
461202 ; 237120 ; 461054 ; 237080 ; 230 
463400 ; 238160 ; 463082 ; 238120 ; 231 
465270 ; 239120 ; 465130 ; 239080 ; 232 
467310 ; 240080 ; 467000 ; 240040 ; 233 
469184 ; 241040 ; 469042 ; 241000 ; 234 
471234 ; 242000 ; 470922 ; 241960 ; 235 
473290 ; 243040 ; 473144 ; 243000 ; 236 
475256 ; 243920 ; 474932 ; 243880 ; 237 
477216 ; 244880 ; 477068 ; 244840 ; 238 
479326 ; 245840 ; 479014 ; 245800 ; 239 
481242 ; 246800 ; 481100 ; 246760 ; 240 
483310 ; 247760 ; 482996 ; 247720 ; 241 
485230 ; 248720 ; 485084 ; 248680 ; 242 
487288 ; 249680 ; 486972 ; 249640 ; 243 
489308 ; 250720 ; 489164 ; 250680 ; 244 
491346 ; 251680 ; 491204 ; 251640 ; 245 
493302 ; 252720 ; 493162 ; 252680 ; 246 
495264 ; 253680 ; 495132 ; 253640 ; 247 
497478 ; 254800 ; 497176 ; 254760 ; 248 
499300 ; 255760 ; 499158 ; 255720 ; 249 
501302 ; 256720 ; 500986 ; 256680 ; 250 
503332 ; 257680 ; 503162 ; 257640 ; 251 
505302 ; 258560 ; 505134 ; 258520 ; 252 
507284 ; 259280 ; 506918 ; 259240 ; 253 
509418 ; 260160 ; 509242 ; 260120 ; 254 
511358 ; 260960 ; 511182 ; 260920 ; 255 
513414 ; 261760 ; 513218 ; 261720 ; 256 
515378 ; 262480 ; 515034 ; 262440 ; 257 
517288 ; 263280 ; 517114 ; 263240 ; 258 
519332 ; 264160 ; 519160 ; 264120 ; 259 
521534 ; 265040 ; 521186 ; 265000 ; 260 
523412 ; 265840 ; 523242 ; 265800 ; 261 
525428 ; 266720 ; 525266 ; 266680 ; 262 
527540 ; 267600 ; 527216 ; 267560 ; 263 
529302 ; 268400 ; 529144 ; 268360 ; 264 
531332 ; 269360 ; 531180 ; 269320 ; 265 
533370 ; 270240 ; 533212 ; 270200 ; 266 
535374 ; 271200 ; 535224 ; 271160 ; 267 
537388 ; 272080 ; 537066 ; 272040 ; 268 
539378 ; 273040 ; 539234 ; 273000 ; 269 
541526 ; 274000 ; 541202 ; 273960 ; 270 
543382 ; 274880 ; 543234 ; 274840 ; 271 
545412 ; 275840 ; 545252 ; 275800 ; 272 
547440 ; 276720 ; 547286 ; 276680 ; 273 
549430 ; 277680 ; 549278 ; 277640 ; 274 
551410 ; 278560 ; 551260 ; 278520 ; 275 
553380 ; 279520 ; 553226 ; 279480 ; 276 
555472 ; 280480 ; 555322 ; 280440 ; 277 
557432 ; 281440 ; 557282 ; 281400 ; 278 
559512 ; 282400 ; 559356 ; 282360 ; 279 
561420 ; 283360 ; 561274 ; 283320 ; 280 
563478 ; 284320 ; 563332 ; 284280 ; 281 
565498 ; 285360 ; 565356 ; 285320 ; 282 
567414 ; 286240 ; 567264 ; 286200 ; 283 
569434 ; 287280 ; 569290 ; 287240 ; 284 
571500 ; 288240 ; 571358 ; 288200 ; 285 
573524 ; 289280 ; 573374 ; 289240 ; 286 
575450 ; 290160 ; 575312 ; 290120 ; 287 
577526 ; 291120 ; 577354 ; 291080 ; 288 
579544 ; 291920 ; 579214 ; 291880 ; 289 
581576 ; 292800 ; 581404 ; 292760 ; 290 
583444 ; 293600 ; 583272 ; 293560 ; 291 
585630 ; 294480 ; 585286 ; 294440 ; 292 
587498 ; 295280 ; 587344 ; 295240 ; 293 
589598 ; 296240 ; 589434 ; 296200 ; 294 
591524 ; 297040 ; 591196 ; 297000 ; 295 
593604 ; 298000 ; 593440 ; 297960 ; 296 
595494 ; 298880 ; 595340 ; 298840 ; 297 
597528 ; 299760 ; 597376 ; 299720 ; 298 
599498 ; 300720 ; 599346 ; 300680 ; 299 
601498 ; 301600 ; 601342 ; 301560 ; 300 
603610 ; 302640 ; 603466 ; 302600 ; 301 
605594 ; 303520 ; 605438 ; 303480 ; 302 
607540 ; 304480 ; 607396 ; 304440 ; 303 
609620 ; 305440 ; 609470 ; 305400 ; 304 
611546 ; 306400 ; 611402 ; 306360 ; 305 
613612 ; 307360 ; 613466 ; 307320 ; 306 
615630 ; 308400 ; 615478 ; 308360 ; 307 
617552 ; 309280 ; 617412 ; 309240 ; 308 
619596 ; 310320 ; 619452 ; 310280 ; 309 
621572 ; 311200 ; 621426 ; 311160 ; 310 
623676 ; 312240 ; 623528 ; 312200 ; 311 
625660 ; 313120 ; 625508 ; 313080 ; 312 
627570 ; 314080 ; 627422 ; 314040 ; 313 
629636 ; 315040 ; 629498 ; 315000 ; 314 
631654 ; 316080 ; 631514 ; 316040 ; 315 
633666 ; 317040 ; 633526 ; 317000 ; 316 
635654 ; 318080 ; 635518 ; 318040 ; 317 
637620 ; 319040 ; 637486 ; 319000 ; 318 
639708 ; 320080 ; 639404 ; 320040 ; 319 
641668 ; 321120 ; 641526 ; 321080 ; 320 
643636 ; 322080 ; 643498 ; 322040 ; 321 
645600 ; 323120 ; 645464 ; 323080 ; 322 
647680 ; 324080 ; 647516 ; 324040 ; 323 
649608 ; 324880 ; 649436 ; 324840 ; 324 
651716 ; 325760 ; 651544 ; 325720 ; 325 
653746 ; 326560 ; 653572 ; 326520 ; 326 
655760 ; 327440 ; 655594 ; 327400 ; 327 
657710 ; 328320 ; 657558 ; 328280 ; 328 
659758 ; 329200 ; 659604 ; 329160 ; 329 
661778 ; 330160 ; 661622 ; 330120 ; 330 
663774 ; 331040 ; 663618 ; 331000 ; 331 
665746 ; 332000 ; 665588 ; 331960 ; 332 
667716 ; 332880 ; 667408 ; 332840 ; 333 
669768 ; 333920 ; 669622 ; 333880 ; 334 
671724 ; 334800 ; 671418 ; 334760 ; 335 
673764 ; 335840 ; 673620 ; 335800 ; 336 
675798 ; 336800 ; 675660 ; 336760 ; 337 
677782 ; 337840 ; 677642 ; 337800 ; 338 
679684 ; 338720 ; 679538 ; 338680 ; 339 
681808 ; 339840 ; 681664 ; 339800 ; 340 
683688 ; 340720 ; 683544 ; 340680 ; 341 
685726 ; 341760 ; 685582 ; 341720 ; 342 
687804 ; 342720 ; 687660 ; 342680 ; 343 
689772 ; 343680 ; 689620 ; 343640 ; 344 
691766 ; 344560 ; 691614 ; 344520 ; 345 
693736 ; 345520 ; 693582 ; 345480 ; 346 
695846 ; 346480 ; 695696 ; 346440 ; 347 
697758 ; 347440 ; 697610 ; 347400 ; 348 
